id,line,color
1,Azul,#5595c0
2,Verde,#56aab2
3,Vermelha,#e33f35
4,Amarela,#ffd500
5,Lilás,#7e00f8
7,Rubi,#a3246a
8,Diamante,#a6a49b
9,Esmeralda,#00af90
10,Turquesa,#52adc7
11,Coral,#ff4c1b
12,Safira,#063b88
13,Jade,#19b05c
15,prata,#7b9192
